seed,case,series,x_value,num_goods,num_bidders,scenario,arm,efficiency,efficiency_pct,initial_efficiency,efficiency_gain_from_initial_pct,true_welfare,full_info_welfare,welfare_loss,revenue,full_info_revenue,revenue_difference,revenue_difference_pct,revenue_loss,revenue_absolute_percentage_error,payment_error_over_optimum_welfare,initial_revenue_loss,revenue_loss_improvement_from_initial,surplus,value_queries,demand_queries,nl_queries,person_queries,person_tokens_in,person_tokens_out,person_tokens_total,shared_proxy_tokens_in,shared_proxy_tokens_out,candidate_bundles_generated,candidate_bundles_sent_to_pv,candidate_bundles_truncated,pv_calibration_family,pv_calibration_scale,pv_calibration_size_gamma,pv_calibration_size_threshold,pv_calibration_budget_cap,pv_calibration_config_hash
0,bidders_8x5,bidders,5,8,5,pc_build_8x5_from_spec,proxy clock k=3,1.0,100.0,nan,nan,7215.0,7215.0,0.0,3136.4900000000007,4056.0,-919.5099999999993,-22.67036489151872,0.2267036489151872,0.2267036489151872,0.12744421344421336,nan,nan,4078.5099999999993,6,0,0,6,4689,1769,6458,26556,5940,507,507,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
1,bidders_8x5,bidders,5,8,5,pc_build_8x5_from_spec,proxy clock k=3,0.9233817701453104,92.33817701453104,nan,nan,6990.0,7570.0,580.0,5252.376000000001,4980.5,271.8760000000011,5.458809356490335,-0.054588093564903344,0.054588093564903344,0.18302932628797888,nan,nan,1737.623999999999,9,0,0,9,4787,2641,7428,29824,6273,707,707,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
2,bidders_8x5,bidders,5,8,5,pc_build_8x5_from_spec,proxy clock k=3,0.859270190501744,85.92701905017441,nan,nan,6405.0,7454.0,1049.0,4685.947999999999,3715.0,970.9479999999994,26.135881561238207,-0.26135881561238206,0.26135881561238206,0.35131365709686074,nan,nan,1719.0520000000006,46,0,0,46,4562,2845,7407,27451,5676,379,379,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
3,bidders_8x5,bidders,5,8,5,pc_build_8x5_from_spec,proxy clock k=3,0.9858934169278997,98.58934169278997,nan,nan,6290.0,6380.0,90.0,3702.13,4498.0,-795.8699999999999,-17.693863939528676,0.17693863939528676,0.17693863939528676,0.16079467084639495,nan,nan,2587.87,5,0,0,5,4691,2617,7308,32456,6719,451,451,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
4,bidders_8x5,bidders,5,8,5,pc_build_8x5_from_spec,proxy clock k=3,0.9144280442804428,91.44280442804428,nan,nan,9912.4,10840.0,927.6000000000004,6802.380000000001,6029.799999999999,772.5800000000017,12.812696938538622,-0.12812696938538623,0.12812696938538623,0.4495000000000002,nan,nan,3110.0199999999986,4,0,0,4,4475,2190,6665,36771,7686,587,587,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
0,bidders_8x6,bidders,6,8,6,pc_build_8x6_from_spec,proxy clock k=3,1.0,100.0,nan,nan,7215.0,7215.0,0.0,3447.7000000000007,4056.0,-608.2999999999993,-14.997534516765269,0.14997534516765268,0.14997534516765268,0.08841912681912675,nan,nan,3767.2999999999993,7,0,0,7,5597,2405,8002,33352,7198,634,634,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
1,bidders_8x6,bidders,6,8,6,pc_build_8x6_from_spec,proxy clock k=3,0.9233817701453104,92.33817701453104,nan,nan,6990.0,7570.0,580.0,5265.0380000000005,4980.5,284.53800000000047,5.71304085935148,-0.0571304085935148,0.0571304085935148,0.18470198150594444,nan,nan,1724.9619999999995,9,0,0,9,5685,2921,8606,31628,6579,730,730,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
2,bidders_8x6,bidders,6,8,6,pc_build_8x6_from_spec,proxy clock k=3,0.7913907284768212,79.13907284768213,nan,nan,5975.0,7550.0,1575.0,5391.6939999999995,4343.0,1048.6939999999995,24.146764909049033,-0.24146764909049034,0.24146764909049034,0.46516900662251653,nan,nan,583.3060000000005,15,0,0,15,5480,3952,9432,32370,6754,442,442,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
3,bidders_8x6,bidders,6,8,6,pc_build_8x6_from_spec,proxy clock k=3,0.9442006269592477,94.42006269592477,nan,nan,6024.0,6380.0,356.0,3895.0340000000006,4498.0,-602.9659999999994,-13.405202312138716,0.13405202312138717,0.13405202312138717,0.39522037617554834,nan,nan,2128.9659999999994,6,0,0,6,5656,3201,8857,46075,9246,706,706,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
4,bidders_8x6,bidders,6,8,6,pc_build_8x6_from_spec,proxy clock k=3,0.9144280442804428,91.44280442804428,nan,nan,9912.4,10840.0,927.6000000000004,6802.380000000001,6049.799999999999,752.5800000000017,12.439750074382655,-0.12439750074382655,0.12439750074382655,0.44765498154981564,nan,nan,3110.0199999999986,5,0,0,5,5356,2281,7637,39611,8125,598,598,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
0,bidders_8x7,bidders,7,8,7,pc_build_8x7_from_spec,proxy clock k=3,1.0,100.0,nan,nan,7215.0,7215.0,0.0,3447.7000000000007,4056.0,-608.2999999999993,-14.997534516765269,0.14997534516765268,0.14997534516765268,0.08841912681912675,nan,nan,3767.2999999999993,7,0,0,7,6457,2658,9115,35110,7513,649,649,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
1,bidders_8x7,bidders,7,8,7,pc_build_8x7_from_spec,proxy clock k=3,0.9233817701453104,92.33817701453104,nan,nan,6990.0,7570.0,580.0,5296.650000000001,4980.5,316.15000000000055,6.347756249372564,-0.06347756249372564,0.06347756249372564,0.18887793923381765,nan,nan,1693.3499999999995,9,0,0,9,6580,3510,10090,35842,7400,793,793,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
2,bidders_8x7,bidders,7,8,7,pc_build_8x7_from_spec,proxy clock k=3,1.0,100.0,nan,nan,7550.0,7550.0,0.0,4531.629999999999,4343.0,188.6299999999992,4.343311075293557,-0.04343311075293557,0.04343311075293557,0.12212052980132453,nan,nan,3018.370000000001,44,0,0,44,6372,4203,10575,35239,7262,453,453,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
3,bidders_8x7,bidders,7,8,7,pc_build_8x7_from_spec,proxy clock k=3,0.9354037267080745,93.54037267080744,nan,nan,6024.0,6440.0,416.0,3909.7920000000004,5364.0,-1454.2079999999996,-27.110514541387015,0.27110514541387015,0.27110514541387015,0.5237186335403725,nan,nan,2114.2079999999996,6,0,0,6,6592,3559,10151,52369,10463,801,801,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
