comparison,mean_difference,median_difference,seed_mean_difference_sd,seed_clustered_ci95_low,seed_clustered_ci95_high,positive_cases,unchanged_cases,negative_cases,higher_is_positive_outcome
sealed_minus_initial_efficiency,0.0839705089737544,0.059733333333333305,0.03587834301253389,0.03942880397865057,0.1285122139688582,78,15,2,True
clock_minus_initial_efficiency,0.06452151424541877,0.038076152304609256,0.0416056217365154,0.012869593506538816,0.11617343498429872,68,15,12,True
clock_minus_sealed_efficiency,-0.01944899472833562,-0.0016064257028112205,0.025388790850199794,-0.05096828846597927,0.012070299009308023,21,22,52,True
clock_minus_sealed_queries,-9.557894736842105,-9.0,1.6996007352551297,-11.66788946354253,-7.44790001014168,6,3,86,False
clock_minus_sealed_payment_error,0.04421886297919823,0.02542899931926479,0.043349638994929586,-0.00959819404269003,0.09803592000108646,58,0,37,False
clock_minus_sealed_revenue_error,0.014856968464073568,0.016786976744185965,0.017881232770925085,-0.007341955124819293,0.03705589205296643,52,0,43,False
