series,x_value,num_cases,num_seeds,full_powerset_count_mean,full_powerset_count_min,full_powerset_count_max,interested_item_powerset_count_mean,interested_item_powerset_count_min,interested_item_powerset_count_max,inferred_candidate_count_mean,inferred_candidate_count_min,inferred_candidate_count_max,oracle_candidate_count_mean,oracle_candidate_count_min,oracle_candidate_count_max,pv_candidate_count_sent_mean,pv_candidate_count_sent_min,pv_candidate_count_sent_max,pv_api_call_count_mean,pv_api_call_count_min,pv_api_call_count_max,exclusion_reduction_pct_mean,exclusion_reduction_pct_min,exclusion_reduction_pct_max,substitute_reduction_pct_of_full_mean,substitute_reduction_pct_of_full_min,substitute_reduction_pct_of_full_max,substitute_reduction_pct_of_interested_support_mean,substitute_reduction_pct_of_interested_support_min,substitute_reduction_pct_of_interested_support_max,total_reduction_pct_mean,total_reduction_pct_min,total_reduction_pct_max,mean_item_precision_mean,mean_item_precision_min,mean_item_precision_max,mean_item_recall_mean,mean_item_recall_min,mean_item_recall_max,mean_item_f1_mean,mean_item_f1_min,mean_item_f1_max,mean_group_item_set_precision_mean,mean_group_item_set_precision_min,mean_group_item_set_precision_max,mean_group_item_set_recall_mean,mean_group_item_set_recall_min,mean_group_item_set_recall_max,mean_mode_accuracy_on_matched_groups_mean,mean_mode_accuracy_on_matched_groups_min,mean_mode_accuracy_on_matched_groups_max,mean_exact_group_and_mode_recall_mean,mean_exact_group_and_mode_recall_min,mean_exact_group_and_mode_recall_max,mean_choose_one_precision_mean,mean_choose_one_precision_min,mean_choose_one_precision_max,mean_choose_one_recall_mean,mean_choose_one_recall_min,mean_choose_one_recall_max,mean_complement_group_precision_mean,mean_complement_group_precision_min,mean_complement_group_precision_max,mean_complement_group_recall_mean,mean_complement_group_recall_min,mean_complement_group_recall_max,mean_candidate_set_precision_mean,mean_candidate_set_precision_min,mean_candidate_set_precision_max,mean_candidate_set_recall_mean,mean_candidate_set_recall_min,mean_candidate_set_recall_max,total_missed_positive_items_mean,total_missed_positive_items_min,total_missed_positive_items_max,total_missed_oracle_candidates_mean,total_missed_oracle_candidates_min,total_missed_oracle_candidates_max,total_dangerous_false_exclusivity_mean,total_dangerous_false_exclusivity_min,total_dangerous_false_exclusivity_max,person_answer_first_attempt_success_rate_mean,person_answer_first_attempt_success_rate_min,person_answer_first_attempt_success_rate_max,mean_person_answer_repairs_mean,mean_person_answer_repairs_min,mean_person_answer_repairs_max,interest_map_first_attempt_success_rate_mean,interest_map_first_attempt_success_rate_min,interest_map_first_attempt_success_rate_max,mean_interest_map_retries_mean,mean_interest_map_retries_min,mean_interest_map_retries_max
goods,7,5,5,1016.0,1016.0,1016.0,472.0,312.0,680.0,421.2,276.0,552.0,421.2,276.0,552.0,421.2,276.0,552.0,9.8,8.0,12.0,53.54330708661417,33.07086614173228,69.29133858267717,5.0,0.984251968503937,12.598425196850394,9.974874035455876,2.6041666666666665,18.823529411764707,58.54330708661417,45.669291338582674,72.83464566929133,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.75,1.0,0.05,0.0,0.25,0.875,0.375,1.0,0.15,0.0,0.75
goods,8,5,5,2040.0,2040.0,2040.0,929.6,616.0,1368.0,757.6,548.0,936.0,760.0,560.0,936.0,757.6,548.0,936.0,14.8,11.0,19.0,54.431372549019606,32.94117647058823,69.80392156862744,8.431372549019608,0.9803921568627451,21.176470588235293,16.264781694967294,2.577319587628866,31.57894736842105,62.86274509803921,54.11764705882353,73.13725490196079,1.0,1.0,1.0,0.995,0.975,1.0,0.9972222222222222,0.9861111111111112,1.0,0.9875,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9869565217391304,0.9347826086956522,1.0,0.2,0.0,1.0,2.4,0.0,12.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
goods,9,5,5,4088.0,4088.0,4088.0,1729.6,1144.0,2200.0,1432.0,1000.0,1736.0,1432.0,1000.0,1736.0,1432.0,1000.0,1736.0,24.4,17.0,28.0,57.6908023483366,46.183953033268104,72.01565557729941,7.279843444227006,0.9784735812133072,15.459882583170254,15.981173508243897,2.5641025641025643,28.727272727272727,64.9706457925636,57.534246575342465,75.53816046966732,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9916666666666667,0.9583333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.925,0.75,1.0,0.075,0.0,0.25,1.0,1.0,1.0,0.0,0.0,0.0
goods,10,5,5,8184.0,8184.0,8184.0,3262.4,1912.0,4408.0,2619.2,1624.0,3160.0,2619.2,1624.0,3160.0,2619.2,1624.0,3160.0,42.2,26.0,51.0,60.136852394916914,46.13880742913001,76.63734115347019,7.859237536656892,3.5190615835777126,15.444770283479961,18.627277958342397,13.370473537604457,28.67513611615245,67.9960899315738,61.3880742913001,80.1564027370479,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9916666666666667,0.9583333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.75,1.0,0.125,0.0,0.25,1.0,1.0,1.0,0.0,0.0,0.0
joint,4,5,5,60.0,60.0,60.0,48.8,44.0,52.0,47.2,36.0,52.0,47.2,36.0,52.0,47.2,36.0,52.0,4.0,4.0,4.0,18.666666666666668,13.333333333333334,26.666666666666668,2.666666666666667,0.0,13.333333333333334,3.6363636363636367,0.0,18.181818181818183,21.333333333333336,13.333333333333334,40.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.75,1.0,0.05,0.0,0.25,1.0,1.0,1.0,0.0,0.0,0.0
joint,5,5,5,155.0,155.0,155.0,96.6,67.0,123.0,90.2,59.0,123.0,90.2,59.0,123.0,90.2,59.0,123.0,5.0,5.0,5.0,37.67741935483871,20.64516129032258,56.774193548387096,4.129032258064516,0.0,10.32258064516129,7.195984852840914,0.0,13.91304347826087,41.80645161290323,20.64516129032258,61.935483870967744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9400000000000001,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.92,0.8,1.0,0.08,0.0,0.2
joint,6,5,5,378.0,378.0,378.0,203.6,130.0,258.0,181.6,118.0,210.0,181.6,118.0,210.0,181.6,118.0,210.0,6.0,6.0,6.0,46.13756613756614,31.746031746031747,65.60846560846561,5.82010582010582,2.6455026455026456,12.698412698412698,10.210765921769154,5.882352941176471,18.6046511627907,51.957671957671955,44.44444444444444,68.78306878306879,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9666666666666667,0.8333333333333334,1.0,0.03333333333333333,0.0,0.16666666666666666,0.8666666666666667,0.3333333333333333,1.0,0.16666666666666669,0.0,0.8333333333333334
joint,7,5,5,889.0,889.0,889.0,409.0,249.0,553.0,369.4,229.0,489.0,369.4,229.0,489.0,369.4,229.0,489.0,8.6,7.0,10.0,53.993250843644546,37.79527559055118,71.9910011248594,4.454443194600675,1.124859392575928,10.798650168728908,8.924869107837376,3.115264797507788,17.359855334538878,58.44769403824522,44.99437570303712,74.24071991001125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9714285714285714,0.8571428571428571,1.0,0.02857142857142857,0.0,0.14285714285714285,0.8857142857142857,0.42857142857142855,1.0,0.14285714285714285,0.0,0.7142857142857143
joint,8,5,5,2040.0,2040.0,2040.0,929.6,616.0,1368.0,757.6,548.0,936.0,760.0,560.0,936.0,757.6,548.0,936.0,14.8,11.0,19.0,54.431372549019606,32.94117647058823,69.80392156862744,8.431372549019608,0.9803921568627451,21.176470588235293,16.264781694967294,2.577319587628866,31.57894736842105,62.86274509803921,54.11764705882353,73.13725490196079,1.0,1.0,1.0,0.995,0.975,1.0,0.9972222222222222,0.9861111111111112,1.0,0.9875,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9869565217391304,0.9347826086956522,1.0,0.2,0.0,1.0,2.4,0.0,12.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
joint,9,5,5,4599.0,4599.0,4599.0,1997.4,1655.0,2615.0,1637.4,1407.0,2023.0,1637.4,1407.0,2023.0,1637.4,1407.0,2023.0,28.0,25.0,33.0,56.568819308545336,43.1398130028267,64.01391606871059,7.8277886497064575,1.5655577299412915,13.742117851706892,16.78170103383162,4.267931238885596,27.927529827662394,64.39660795825179,56.012176560121766,69.40639269406392,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9851851851851852,0.9629629629629629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9111111111111111,0.6666666666666666,1.0,0.08888888888888888,0.0,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0
joint,10,5,5,10230.0,10230.0,10230.0,4183.6,3134.0,5878.0,3415.6,2686.0,4758.0,3415.6,2686.0,4758.0,3415.6,2686.0,4758.0,55.0,44.0,75.0,59.10459433040078,42.541544477028346,69.36461388074291,7.50733137829912,2.8152492668621703,12.355816226783968,17.450041600639835,9.0282131661442,27.112827112827112,66.6119257086999,53.489736070381234,73.74389051808407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9933333333333333,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.7,1.0,0.12,0.0,0.3,1.0,1.0,1.0,0.0,0.0,0.0
