held_out_instance,pass,scale,score
0,1,0.5,0.3046229127861381
0,1,0.6,0.2906198672553096
0,1,0.7,0.28541311802077735
0,1,0.8,0.28379923755768527
0,1,0.9,0.2837552158073091
0,1,1.0,0.28878476077433524
0,1,1.1,0.2997722118860196
0,1,1.2000000000000002,0.22924836301760934
0,1,1.3,0.24975392447187283
0,1,1.4,0.2705363863002706
0,1,1.5,0.21689940216155965
0,1,1.6,0.23264916575122396
0,1,1.7000000000000002,0.28182066838608344
0,1,1.8,0.27904868134434885
0,1,1.9000000000000001,0.32969758734056975
0,1,2.0,0.34500127827690324
0,1,2.1,0.3522602204693144
0,1,2.2,0.38938562726423526
0,1,2.3,0.4095405335190438
0,1,2.4000000000000004,0.42833561170135287
0,1,2.5,0.4389029869947556
0,2,1.4,0.2705363863002706
0,2,1.41,0.27200528278683694
0,2,1.42,0.2729025617375
0,2,1.43,0.27340301529133765
0,2,1.44,0.27390346884517525
0,2,1.45,0.27440392239901296
0,2,1.46,0.23769372780470252
0,2,1.47,0.22352563550212837
0,2,1.48,0.22401368826231524
0,2,1.49,0.21721580447119662
0,2,1.5,0.21689940216155965
0,2,1.51,0.226026543617334
0,2,1.52,0.22675657622957093
0,2,1.53,0.22748660884180794
0,2,1.54,0.22821664145404494
0,2,1.55,0.22894667406628189
0,2,1.56,0.2296767066785189
0,2,1.57,0.214029424475941
0,2,1.58,0.2136599200511409
0,2,1.59,0.23186680451522979
0,2,1.6,0.23264916575122396
0,3,1.57,0.214029424475941
0,3,1.5710000000000002,0.23047974255197948
0,3,1.572,0.23055274581320326
0,3,1.573,0.23062574907442693
0,3,1.574,0.2306987523356506
0,3,1.5750000000000002,0.23077175559687432
0,3,1.576,0.230844758858098
0,3,1.577,0.23091776211932177
0,3,1.578,0.21373382093610085
0,3,1.5790000000000002,0.21369687049362096
0,3,1.58,0.2136599200511409
0,3,1.581,0.23120977516421648
0,3,1.582,0.2312827784254402
0,3,1.5830000000000002,0.23135578168666385
0,3,1.584,0.23142878494788768
0,3,1.585,0.2315017882091113
0,3,1.586,0.23157479147033497
0,3,1.5870000000000002,0.23164779473155864
0,3,1.588,0.23172079799278236
0,3,1.589,0.2317938012540061
0,3,1.59,0.23186680451522979
0,4,1.5790000000000002,0.21369687049362096
0,4,1.5791000000000002,0.23107106896789134
0,4,1.5792000000000002,0.2310783692940139
0,4,1.5793000000000001,0.23108566962013613
0,4,1.5794000000000001,0.23109296994625864
0,4,1.5795000000000001,0.2311002702723809
0,4,1.5796000000000001,0.21367470022813295
0,4,1.5797,0.23111487092462565
0,4,1.5798,0.231122171250748
0,4,1.5799,0.21366361509538898
0,4,1.58,0.2136599200511409
0,4,1.5801,0.23114407222911523
0,4,1.5802,0.23115137255523746
0,4,1.5803,0.2311586728813599
0,4,1.5804,0.23116597320748236
0,4,1.5805,0.2311732735336047
0,4,1.5806,0.23118057385972698
0,4,1.5807,0.23118787418584943
0,4,1.5808,0.23119517451197177
0,4,1.5809,0.2312024748380941
0,4,1.581,0.23120977516421648
1,1,0.5,0.3147704429417633
1,1,0.6,0.29546208988173467
1,1,0.7,0.2849500331180022
1,1,0.8,0.27803084512571
1,1,0.9,0.2726815158461337
1,1,1.0,0.27731222648671705
1,1,1.1,0.23626511053048568
1,1,1.2000000000000002,0.24263171836372674
1,1,1.3,0.24494058454466047
1,1,1.4,0.22404884765212918
1,1,1.5,0.1877155370498099
1,1,1.6,0.20000975013037417
1,1,1.7000000000000002,0.24217768334994672
1,1,1.8,0.2630821255981692
1,1,1.9000000000000001,0.2519304305230106
1,1,2.0,0.2625224362239943
1,1,2.1,0.27764716870218065
1,1,2.2,0.38254533499940396
1,1,2.3,0.40038568086145293
1,1,2.4000000000000004,0.42840268168066925
1,1,2.5,0.4586981646593444
1,2,1.4,0.22404884765212918
1,2,1.41,0.2148216771083742
1,2,1.42,0.21418655449490234
1,2,1.43,0.22369849070495987
1,2,1.44,0.22350454456207627
1,2,1.45,0.2122811866544868
1,2,1.46,0.17443541589286685
1,2,1.47,0.19143439802741533
1,2,1.48,0.18044720382183357
1,2,1.49,0.18678657930590734
1,2,1.5,0.1877155370498099
1,2,1.51,0.19842458738630497
1,2,1.52,0.18633543510842102
1,2,1.53,0.2024815769481841
1,2,1.54,0.20451007172912375
1,2,1.55,0.19109739003947504
1,2,1.56,0.19278274756551264
1,2,1.57,0.17828554660250226
1,2,1.58,0.17895086292856513
1,2,1.59,0.19819256814351704
1,2,1.6,0.20000975013037417
1,3,1.45,0.2122811866544868
1,3,1.451,0.21221767439313954
1,3,1.452,0.18971856844987522
1,3,1.4529999999999998,0.17510280264822295
1,3,1.454,0.17863014686835735
1,3,1.455,0.18616212071812122
1,3,1.456,0.17481677975307033
1,3,1.4569999999999999,0.19001222037843354
1,3,1.458,0.18600845076414507
1,3,1.459,0.17453075685791772
1,3,1.46,0.17443541589286685
1,3,1.4609999999999999,0.17434007492781609
1,3,1.462,0.17428066210647766
1,3,1.463,0.19047837514779317
1,3,1.464,0.1789678910213525
1,3,1.4649999999999999,0.1859193486160451
1,3,1.466,0.174210675491783
1,3,1.467,0.18597259060281543
1,3,1.468,0.19116124863323744
1,3,1.4689999999999999,0.19129782333032644
1,3,1.47,0.19143439802741533
1,4,1.4649999999999999,0.1859193486160451
1,4,1.4650999999999998,0.1907651820116798
1,4,1.4651999999999998,0.1742246728147219
1,4,1.4652999999999998,0.19079249695109757
1,4,1.4653999999999998,0.19080615442080642
1,4,1.4655,0.1859326591127375
1,4,1.4656,0.18593532121207598
1,4,1.4657,0.1859379833114145
1,4,1.4658,0.19086078429964196
1,4,1.4659,0.17421242515715052
1,4,1.466,0.174210675491783
1,4,1.4661,0.17916205082641565
1,4,1.4662,0.1791712965314188
1,4,1.4663,0.19092907164818643
1,4,1.4664,0.1791897879414248
1,4,1.4665,0.1742019271649463
1,4,1.4666000000000001,0.17920827935143083
1,4,1.4667000000000001,0.1859646043047999
1,4,1.4668,0.1792267707614367
1,4,1.4669,0.1910110164664398
1,4,1.467,0.18597259060281543
2,1,0.5,0.3114516269122259
2,1,0.6,0.30632748254869374
2,1,0.7,0.3012033381851616
2,1,0.8,0.29607919382162945
2,1,0.9,0.29095504945809725
2,1,1.0,0.3008845117321271
2,1,1.1,0.2632298891214714
2,1,1.2000000000000002,0.20801768765777798
2,1,1.3,0.20027266373342797
2,1,1.4,0.1797722717610386
2,1,1.5,0.17985415336934082
