mechanism,mean_raw_efficiency,mean_calibrated_efficiency,mean_efficiency_delta,mean_within_tolerance,worst_case_efficiency_delta
initial,0.9360267065390908,0.9728871653382006,0.03686045879910982,True,-0.13404825737265413
sealed,0.9742872479677556,0.9784847087751652,0.004197460807409681,True,-0.1521438450899032
clock,0.9727504414516959,0.9982766439909297,0.025526202539233878,True,-0.015510204081632617
