held_out_instance,train_environment_count,test_environment_count,fit_scale,training_payment_objective,heldout_raw_payment_objective,heldout_calibrated_payment_objective,heldout_improvement,heldout_relative_improvement
0,6,3,1.58,0.2136599200511409,0.2894119774445089,0.14907156998345672,0.1403404074610522,0.48491568559204046
1,6,3,1.4665,0.1742019271649463,0.31235704601974534,0.20537548724657417,0.10698155877317117,0.34249766456815717
2,6,3,1.6803000000000001,0.17704510386412695,0.26521247552892513,0.3431900377136888,-0.07797756218476365,-0.29401920867127196
