mechanism,cases,seeds,mean_efficiency,median_efficiency,seed_mean_efficiency_sd,seed_clustered_efficiency_ci95_low,seed_clustered_efficiency_ci95_high,cases_efficiency_ge_0_90,cases_efficiency_ge_0_95,cases_fully_efficient,mean_value_queries,median_value_queries,mean_payment_error_over_optimum_welfare,mean_revenue_error_over_optimum_welfare
Initial PV,95,5,0.8637477668963981,0.8819392917369308,0.033094062582127236,0.8226626484418569,0.9048328853509393,42,19,7,0,0,nan,nan
Sealed,95,5,0.9477182758701524,0.977705112960761,0.008662084202963057,0.9369646020152493,0.9584719497250556,74,57,23,21.83157894736842,17.0,0.3205194092964085,0.11952841050909728
Clock,95,5,0.9282692811418168,0.9501347708894878,0.03238052846638566,0.8880699902762532,0.9684685720073805,70,48,15,12.273684210526316,9.0,0.3647382722756067,0.13438537897317085
