mechanism,event_type,query_count,queries_per_case,mean_absolute_value_correction,final_allocation_hit_rate,reported_vcg_witness_hit_rate,full_info_vcg_witness_hit_rate
Sealed,allocated_bundle,742,7.810526315789474,539.7331940700809,0.20889487870619947,0.3045822102425876,0.16711590296495957
Sealed,competitive_counterfactual,683,7.189473684210526,222.0668081991215,0.1595900439238653,0.31332357247437775,0.11566617862371889
Sealed,large_correction_followup,288,3.031578947368421,461.6165277777778,0.0763888888888889,0.2708333333333333,0.08680555555555555
Sealed,scarcity_avoiding_fallback,361,3.8,501.4189473684211,0.0443213296398892,0.11634349030470914,0.060941828254847646
Clock,frontier_closure_winner,754,7.936842105263158,488.1916578249337,0.2519893899204244,0.29708222811671087,0.1259946949602122
Clock,frontier_staged_revealed_vcg_witness,125,1.3157894736842106,372.60488,0.08,0.408,0.136
Clock,frontier_vcg_single_pass_revealed,287,3.0210526315789474,490.32940766550524,0.2961672473867596,0.5749128919860628,0.2961672473867596
