seed,case,series,x_value,num_goods,num_bidders,initial_efficiency,sealed_efficiency,clock_efficiency,sealed_efficiency_gain,clock_efficiency_gain,clock_minus_sealed_efficiency,sealed_value_queries,clock_value_queries,sealed_rounds,clock_rounds,sealed_payment_error_over_optimum_welfare,clock_payment_error_over_optimum_welfare,sealed_revenue_error_over_optimum_welfare,clock_revenue_error_over_optimum_welfare,sealed_revenue_loss,clock_revenue_loss,sealed_allocation_match,clock_allocation_match,sealed_termination_reason,clock_termination_reason,clock_failure_classification,clock_best_efficiency,clock_final_minus_best_welfare
0,anchor_8x8,anchor,8,8,8,0.9618788291354663,1.0,0.9823008849557522,0.038121170864533704,0.02042205582028589,-0.017699115044247815,16,7,4,22,0.17486861810755613,0.19963866575901967,0.17486861810755613,0.15945350578624912,0.2463387034906022,0.2246233218258534,True,False,no_eligible_refinements,no_excess_demand,refined_but_miscalibrated,0.9823008849557522,0.0
0,bidders_8x10,bidders,10,8,10,0.9618788291354663,0.9836623553437712,0.9823008849557522,0.021783526208304926,0.02042205582028589,-0.001361470388019037,15,6,3,22,0.18808795098706596,0.20300939414567726,0.1417979577944179,0.15880571817562966,0.19936944869831535,0.2232825421133231,False,False,no_eligible_refinements,no_excess_demand,refined_but_miscalibrated,0.9823008849557522,0.0
0,bidders_8x4,bidders,4,8,4,1.0,1.0,1.0,0.0,0.0,0.0,14,5,6,15,0.08028228395923494,0.07733100656149665,0.08028228395923494,0.07625603797291634,0.14944438669438667,0.14194958419958414,True,True,no_eligible_refinements,no_excess_demand,no_failure_global,1.0,0.0
0,bidders_8x5,bidders,5,8,5,1.0,1.0,1.0,0.0,0.0,0.0,16,6,7,18,0.11950159390159386,0.12744421344421336,0.11950159390159386,0.12744421344421336,0.21257495069033525,0.2267036489151872,True,True,no_eligible_refinements,no_excess_demand,no_failure_global,1.0,0.0
0,bidders_8x6,bidders,6,8,6,1.0,1.0,1.0,0.0,0.0,0.0,21,7,7,18,0.11794733194733192,0.08841912681912675,0.11794733194733192,0.08431046431046421,0.20981015779092696,0.14997534516765268,True,True,no_eligible_refinements,no_excess_demand,no_failure_global,1.0,0.0
0,bidders_8x7,bidders,7,8,7,1.0,1.0,1.0,0.0,0.0,0.0,21,7,7,18,0.11794733194733192,0.08841912681912675,0.11794733194733192,0.08431046431046421,0.20981015779092696,0.14997534516765268,True,True,no_eligible_refinements,no_excess_demand,no_failure_global,1.0,0.0
0,bidders_8x9,bidders,9,8,9,0.9618788291354663,1.0,0.9823008849557522,0.038121170864533704,0.02042205582028589,-0.017699115044247815,15,6,4,22,0.17557113682777395,0.20100013614703874,0.17557113682777395,0.16081497617426818,0.24685490045941802,0.22610758039816226,True,False,no_eligible_refinements,no_excess_demand,refined_but_miscalibrated,0.9823008849557522,0.0
0,goods_10x8,goods,10,10,8,0.8736318407960199,0.877363184079602,0.8823383084577114,0.003731343283582156,0.008706467661691586,0.00497512437810943,11,11,4,25,0.2948716417910448,0.32936840796019895,0.1555681592039801,0.19006492537313424,0.21568684255906193,0.26351474392136565,False,False,no_eligible_refinements,no_excess_demand,refined_but_miscalibrated,0.8823383084577114,0.0
0,goods_4x8,goods,4,4,8,0.4571687370600414,0.9663561076604554,0.8356625258799172,0.509187370600414,0.3784937888198758,-0.13069358178053825,15,8,5,13,0.504399585921325,0.5031428571428572,0.18141821946169773,0.3656459627329192,0.2190625,0.44151749999999995,False,False,no_eligible_refinements,no_excess_demand,refined_but_miscalibrated,0.8356625258799172,0.0
0,goods_5x8,goods,5,5,8,0.9328859060402684,0.9328859060402684,0.9272930648769575,0.0,-0.005592841163310935,-0.005592841163310935,7,4,3,28,0.5954578672632364,0.43592654735272185,0.33683519761372105,0.2923769574944072,0.40329999999999994,0.3500691964285714,False,False,no_eligible_refinements,no_excess_demand,refined_but_miscalibrated,0.9328859060402684,-30.0
0,goods_6x8,goods,6,6,8,0.8093373493975904,0.8093373493975904,0.8560240963855422,0.0,0.04668674698795183,0.04668674698795183,24,13,7,25,0.5616698795180722,0.2914213855421686,0.18516385542168673,0.07154186746987945,0.2624867634500427,0.10141716481639615,False,False,no_eligible_refinements,no_excess_demand,refined_but_miscalibrated,0.8560240963855422,0.0
0,goods_7x8,goods,7,7,8,0.8202980837473386,0.8202980837473386,0.6719659332860185,0.0,-0.1483321504613201,-0.1483321504613201,15,4,4,25,0.5890325053229241,0.5413978708303762,0.2341709013484741,0.14958864442867278,0.32513480488766255,0.20769649191959003,False,False,no_eligible_refinements,no_excess_demand,late_refinement_worsened_final_allocation,0.8202980837473386,-1045.0
0,goods_9x8,goods,9,9,8,0.593029315960912,0.7102931596091205,0.607100977198697,0.11726384364820852,0.014071661237785027,-0.1031921824104235,28,3,8,18,0.9931400651465797,1.0319549185667751,0.1635656026058633,0.2615955700325733,0.22725669804489518,0.3634587255611876,False,False,no_eligible_refinements,no_excess_demand,refined_but_miscalibrated,0.607100977198697,0.0
0,joint_10x10,joint,10,10,10,0.8736318407960199,0.877363184079602,0.8823383084577114,0.003731343283582156,0.008706467661691586,0.00497512437810943,11,11,4,25,0.28445,0.32812462686567156,0.14763407960199007,0.19130870646766163,0.20433430883112413,0.26478257875710093,False,False,no_eligible_refinements,no_excess_demand,refined_but_miscalibrated,0.8823383084577114,0.0
0,joint_4x4,joint,4,4,4,0.8356625258799172,1.0,0.8356625258799172,0.16433747412008282,0.0,-0.16433747412008282,8,9,3,12,0.22827846790890274,0.5300300207039338,0.22827846790890274,0.46274223602484466,0.3134570007107321,0.6354072494669509,True,False,no_eligible_refinements,no_excess_demand,refined_but_miscalibrated,0.8356625258799172,0.0
0,joint_5x5,joint,5,5,5,0.8750932140193886,0.9105145413870246,0.8620432513049963,0.035421327367636035,-0.013049962714392294,-0.04847129008202833,14,4,6,21,0.18313012677106635,0.315494034302759,0.022802013422818783,0.17792878448918714,0.036575956937799026,0.2854096889952153,False,False,no_eligible_refinements,no_excess_demand,refined_but_miscalibrated,0.8750932140193886,-70.0
