seed,case,series,num_goods,num_bidders,selected_goods,selected_bidders,good_categories,bidder_strata,mean_interest_density,bidders_with_exclusions,surviving_substitute_groups,distinct_substitute_groups,bidders_with_substitutes,surviving_complement_groups,distinct_complement_groups,bidders_with_complements,contested_goods,min_positive_bidders_per_good,mean_positive_bidders_per_good,full_information_welfare,full_information_winners,largest_winner_welfare_share,allocated_good_share,validation_passed
0,joint_10x10,joint,10,10,CPU_MID|RAM_64|SSD_4TB|SSD_2TB|CPU_HI|MB_STD|GPU_VALUE|RAM_32|COOL_AIO|CASE_ATX,office_user|creative_professional|software_developer|system_integrator|overclocker|small_business_it|minimalist_user|ai_researcher|streamer_creator|home_server_operator,7,4,0.8,8,21,3,9,8,6,7,10,4,8,8040.0,3,0.5796019900497512,1.0,True
1,goods_4x8,goods,4,8,CPU_MID|RAM_128|SSD_4TB|SSD_2TB,value_gamer|ai_researcher|creative_professional|component_reseller|enthusiast_gamer|office_user|small_business_it|data_analyst,3,4,0.875,4,5,1,5,1,1,1,4,6,7,4494.0,2,0.5629728526924789,1.0,True
1,bidders_8x4,bidders,8,4,CPU_MID|RAM_128|SSD_4TB|SSD_2TB|COOL_AIO|CPU_HI|PSU_1000|RAM_64,value_gamer|ai_researcher|creative_professional|component_reseller,5,3,0.96875,1,11,3,4,3,3,3,8,3,3.875,7570.0,2,0.655217965653897,1.0,True
1,joint_4x4,joint,4,4,CPU_MID|RAM_128|SSD_4TB|SSD_2TB,value_gamer|ai_researcher|creative_professional|component_reseller,3,3,0.9375,1,3,1,3,1,1,1,4,3,3.75,4264.0,2,0.6599437148217636,1.0,True
1,goods_5x8,goods,5,8,CPU_MID|RAM_128|SSD_4TB|SSD_2TB|COOL_AIO,value_gamer|ai_researcher|creative_professional|component_reseller|enthusiast_gamer|office_user|small_business_it|data_analyst,4,4,0.875,4,5,1,5,2,2,2,5,6,7,4824.0,2,0.5244610281923715,1.0,True
1,bidders_8x5,bidders,8,5,CPU_MID|RAM_128|SSD_4TB|SSD_2TB|COOL_AIO|CPU_HI|PSU_1000|RAM_64,value_gamer|ai_researcher|creative_professional|component_reseller|enthusiast_gamer,5,3,0.95,2,12,3,5,3,3,3,8,4,4.75,7570.0,2,0.655217965653897,1.0,True
1,joint_5x5,joint,5,5,CPU_MID|RAM_128|SSD_4TB|SSD_2TB|COOL_AIO,value_gamer|ai_researcher|creative_professional|component_reseller|enthusiast_gamer,4,3,0.92,2,3,1,3,2,2,2,5,4,4.6,4594.0,2,0.6843709185894645,1.0,True
1,goods_6x8,goods,6,8,CPU_MID|RAM_128|SSD_4TB|SSD_2TB|COOL_AIO|CPU_HI,value_gamer|ai_researcher|creative_professional|component_reseller|enthusiast_gamer|office_user|small_business_it|data_analyst,4,4,0.8541666666666666,4,11,2,7,3,3,3,6,6,6.833333333333333,6640.0,2,0.7469879518072289,1.0,True
1,bidders_8x6,bidders,8,6,CPU_MID|RAM_128|SSD_4TB|SSD_2TB|COOL_AIO|CPU_HI|PSU_1000|RAM_64,value_gamer|ai_researcher|creative_professional|component_reseller|enthusiast_gamer|office_user,5,4,0.8958333333333334,3,13,3,6,3,3,3,8,4,5.375,7570.0,2,0.655217965653897,1.0,True
1,joint_6x6,joint,6,6,CPU_MID|RAM_128|SSD_4TB|SSD_2TB|COOL_AIO|CPU_HI,value_gamer|ai_researcher|creative_professional|component_reseller|enthusiast_gamer|office_user,4,4,0.8611111111111112,3,8,2,5,3,3,3,6,4,5.166666666666667,6430.0,2,0.7713841368584758,1.0,True
1,goods_7x8,goods,7,8,CPU_MID|RAM_128|SSD_4TB|SSD_2TB|COOL_AIO|CPU_HI|PSU_1000,value_gamer|ai_researcher|creative_professional|component_reseller|enthusiast_gamer|office_user|small_business_it|data_analyst,5,4,0.875,4,11,2,7,3,3,3,7,6,7,7050.0,3,0.7035460992907802,1.0,True
1,bidders_8x7,bidders,8,7,CPU_MID|RAM_128|SSD_4TB|SSD_2TB|COOL_AIO|CPU_HI|PSU_1000|RAM_64,value_gamer|ai_researcher|creative_professional|component_reseller|enthusiast_gamer|office_user|small_business_it,5,4,0.875,4,14,3,7,3,3,3,8,5,6.125,7570.0,2,0.655217965653897,1.0,True
1,joint_7x7,joint,7,7,CPU_MID|RAM_128|SSD_4TB|SSD_2TB|COOL_AIO|CPU_HI|PSU_1000,value_gamer|ai_researcher|creative_professional|component_reseller|enthusiast_gamer|office_user|small_business_it,5,4,0.8571428571428571,4,9,2,6,3,3,3,7,5,6,6840.0,2,0.7251461988304093,1.0,True
1,anchor_8x8,anchor,8,8,CPU_MID|RAM_128|SSD_4TB|SSD_2TB|COOL_AIO|CPU_HI|PSU_1000|RAM_64,value_gamer|ai_researcher|creative_professional|component_reseller|enthusiast_gamer|office_user|small_business_it|data_analyst,5,4,0.890625,4,17,3,8,3,3,3,8,6,7.125,7930.0,3,0.6254728877679697,1.0,True
1,goods_9x8,goods,9,8,CPU_MID|RAM_128|SSD_4TB|SSD_2TB|COOL_AIO|CPU_HI|PSU_1000|RAM_64|GPU_VALUE,value_gamer|ai_researcher|creative_professional|component_reseller|enthusiast_gamer|office_user|small_business_it|data_analyst,6,4,0.8611111111111112,6,17,3,8,3,3,3,9,5,6.888888888888889,8410.0,4,0.5897740784780023,1.0,True
1,bidders_8x9,bidders,8,9,CPU_MID|RAM_128|SSD_4TB|SSD_2TB|COOL_AIO|CPU_HI|PSU_1000|RAM_64,value_gamer|ai_researcher|creative_professional|component_reseller|enthusiast_gamer|office_user|small_business_it|data_analyst|overclocker,5,4,0.875,5,18,3,9,3,3,3,8,6,7.875,7930.0,3,0.6254728877679697,1.0,True
1,joint_9x9,joint,9,9,CPU_MID|RAM_128|SSD_4TB|SSD_2TB|COOL_AIO|CPU_HI|PSU_1000|RAM_64|GPU_VALUE,value_gamer|ai_researcher|creative_professional|component_reseller|enthusiast_gamer|office_user|small_business_it|data_analyst|overclocker,6,4,0.8395061728395061,7,18,3,9,3,3,3,9,5,7.555555555555555,8410.0,4,0.5897740784780023,1.0,True
1,goods_10x8,goods,10,8,CPU_MID|RAM_128|SSD_4TB|SSD_2TB|COOL_AIO|CPU_HI|PSU_1000|RAM_64|GPU_VALUE|CASE_ATX,value_gamer|ai_researcher|creative_professional|component_reseller|enthusiast_gamer|office_user|small_business_it|data_analyst,7,4,0.875,6,17,3,8,6,5,5,10,5,7,8844.0,4,0.5658073270013568,1.0,True
1,bidders_8x10,bidders,8,10,CPU_MID|RAM_128|SSD_4TB|SSD_2TB|COOL_AIO|CPU_HI|PSU_1000|RAM_64,value_gamer|ai_researcher|creative_professional|component_reseller|enthusiast_gamer|office_user|small_business_it|data_analyst|overclocker|family_pc_buyer,5,4,0.85,6,18,3,9,3,3,3,8,6,8.5,7930.0,3,0.6254728877679697,1.0,True
1,joint_10x10,joint,10,10,CPU_MID|RAM_128|SSD_4TB|SSD_2TB|COOL_AIO|CPU_HI|PSU_1000|RAM_64|GPU_VALUE|CASE_ATX,value_gamer|ai_researcher|creative_professional|component_reseller|enthusiast_gamer|office_user|small_business_it|data_analyst|overclocker|family_pc_buyer,7,4,0.84,8,18,3,9,6,5,5,10,6,8.4,8844.0,4,0.5658073270013568,1.0,True
2,goods_4x8,goods,4,8,GPU_GAM_HI|GPU_VALUE|SSD_2TB|CASE_ATX,value_gamer|streamer_creator|family_pc_buyer|creative_professional|home_server_operator|software_developer|student_builder|enthusiast_gamer,3,4,0.8125,5,3,1,3,2,2,2,4,5,6.5,3560.0,2,0.5898876404494382,1.0,True
2,bidders_8x4,bidders,8,4,GPU_GAM_HI|GPU_VALUE|SSD_2TB|CASE_ATX|GPU_AI|COOL_AIO|SSD_4TB|PSU_1000,value_gamer|streamer_creator|family_pc_buyer|creative_professional,5,3,0.8125,4,5,3,4,3,3,3,8,2,3.25,7454.0,3,0.7397370539307754,1.0,True
2,joint_4x4,joint,4,4,GPU_GAM_HI|GPU_VALUE|SSD_2TB|CASE_ATX,value_gamer|streamer_creator|family_pc_buyer|creative_professional,3,3,0.875,2,2,1,2,1,1,1,4,2,3.5,3370.0,2,0.884272997032641,1.0,True
2,goods_5x8,goods,5,8,GPU_GAM_HI|GPU_VALUE|SSD_2TB|CASE_ATX|GPU_AI,value_gamer|streamer_creator|family_pc_buyer|creative_professional|home_server_operator|software_developer|student_builder|enthusiast_gamer,3,4,0.725,8,6,3,6,2,2,2,5,3,5.8,5560.0,3,0.45863309352517984,1.0,True
2,bidders_8x5,bidders,8,5,GPU_GAM_HI|GPU_VALUE|SSD_2TB|CASE_ATX|GPU_AI|COOL_AIO|SSD_4TB|PSU_1000,value_gamer|streamer_creator|family_pc_buyer|creative_professional|home_server_operator,5,4,0.775,5,6,3,5,3,3,3,8,2,3.875,7454.0,3,0.7397370539307754,1.0,True
2,joint_5x5,joint,5,5,GPU_GAM_HI|GPU_VALUE|SSD_2TB|CASE_ATX|GPU_AI,value_gamer|streamer_creator|family_pc_buyer|creative_professional|home_server_operator,3,4,0.76,5,4,2,4,1,1,1,5,2,3.8,5370.0,3,0.638733705772812,1.0,True
2,goods_6x8,goods,6,8,GPU_GAM_HI|GPU_VALUE|SSD_2TB|CASE_ATX|GPU_AI|COOL_AIO,value_gamer|streamer_creator|family_pc_buyer|creative_professional|home_server_operator|software_developer|student_builder|enthusiast_gamer,4,4,0.7083333333333334,8,6,3,6,2,2,2,6,3,5.666666666666667,5890.0,3,0.48896434634974534,1.0,True
2,bidders_8x6,bidders,8,6,GPU_GAM_HI|GPU_VALUE|SSD_2TB|CASE_ATX|GPU_AI|COOL_AIO|SSD_4TB|PSU_1000,value_gamer|streamer_creator|family_pc_buyer|creative_professional|home_server_operator|software_developer,5,4,0.7708333333333334,6,7,3,6,4,4,4,8,2,4.625,7550.0,3,0.6013245033112583,1.0,True
2,joint_6x6,joint,6,6,GPU_GAM_HI|GPU_VALUE|SSD_2TB|CASE_ATX|GPU_AI|COOL_AIO,value_gamer|streamer_creator|family_pc_buyer|creative_professional|home_server_operator|software_developer,4,4,0.7222222222222222,6,4,2,4,2,2,2,6,2,4.333333333333333,5890.0,3,0.48896434634974534,1.0,True
