treatment,mechanism,seeds,mean_efficiency,mean_revenue,mean_revenue_abs_error,mean_revenue_loss,mean_payment_error_over_optimum_welfare,mean_surplus,mean_value_queries,mean_demand_queries,mean_supplementary_atoms
focused_full_frontier_closure,clock,5,0.9522341905064688,5823.32,942.68,0.15936989925216746,0.48056021787065833,2041.28,21.4,0.0,757.6
focused_pv_only,clock,5,0.8812904348919401,5177.106400000001,1588.8935999999994,0.23966215774762892,0.7730789802361799,2099.253599999999,0.0,0.0,757.6
focused_revealed_winner_sandwich,clock,5,0.9571804773319069,5438.6076,1327.3924000000002,0.2005978442164178,0.3816238738290501,2460.3923999999997,13.4,0.0,757.6
focused_revealed_witness_top3,clock,5,0.9023909883396033,5552.089999999999,1213.9100000000003,0.18276509237773733,0.5467188646923525,1857.8700000000001,3.0,0.0,757.6
focused_winner_closure,clock,5,0.9220255452079243,5087.4504,1678.5496000000003,0.25935259870601296,0.6893525398333905,2571.1496,11.2,0.0,757.6
focused_winner_closure_revealed_vcg,clock,5,0.9267552580095078,5572.7364,1193.2636000000002,0.1885401613763483,0.44366982748457595,2122.3636,12.8,0.0,757.6
